household_id,respondent_id,county,wave,gender,KPMD_status,sheep_owned,goats_owned,vaccinated_sheep,vaccinated_goats,disease_cases_sheep,disease_cases_goats,treated_sheep,treated_goats,sold_sheep_to_KPMD,sold_sheep_to_nonKPMD,sold_goats_to_KPMD,sold_goats_to_nonKPMD,avg_liveweight_sheep_KPMD_kg,avg_liveweight_sheep_nonKPMD_kg,avg_liveweight_goat_KPMD_kg,avg_liveweight_goat_nonKPMD_kg,price_per_kg_sheep_KPMD,price_per_kg_sheep_nonKPMD,price_per_kg_goat_KPMD,price_per_kg_goat_nonKPMD,age_at_sale_sheep_months,age_at_sale_goat_months,distance_to_market_km,time_to_market_hours,gender_decision_index_0_1,gender_control_index_0_1,has_credit,loan_amount_kes,repayment_rate_0_1,rCSI,coping_capacity_index_0_100,total_income_kes,livestock_income_kes,other_income_kes,sold_sheep_total,sold_goats_total,vaccination_rate_sheep,vaccination_rate_goats,disease_rate_sheep,disease_rate_goats,revenue_sheep_KPMD,revenue_sheep_nonKPMD,revenue_goat_KPMD,revenue_goat_nonKPMD,total_livestock_sales_revenue
HH0014,R0014,Kajiado,Midline,Female,Control,11,7,5,3,2,1,1,1,0,4,0,0,,22.33213081,,,,411.2296368,,,10.0735388,,1,2.728694681,0.611429274,0.780417154,FALSE,0,,5.052408982,51.41197131,16592,10400,6192,4,0,0.454545455,0.428571429,0.181818182,0.142857143,0,36734.54,0,0,36734.54
HH0014,R0014,Kajiado,Endline,Female,Control,13,9,5,4,2,1,1,0,0,1,0,4,,18.92465018,,23.87676331,,337.716107,,335.0107432,16.18605439,11.53540901,34.27421535,2.135395736,0.360880345,0.206244208,FALSE,0,,17.69924887,60.48657591,38857,21126,17731,1,4,0.384615385,0.444444444,0.153846154,0.111111111,0,6391.16,0,31995.89,38387.05
HH0015,R0015,Kajiado,Baseline,Female,Non-KPMD Seller,14,17,7,9,2,2,1,1,2,2,0,1,24.48023429,22.40142308,,22.36662143,334.4466753,396.7600304,,366.5906071,16.01144185,9.784428301,8.46241234,3.172522761,0.795909213,0.09752545,FALSE,0,,3.78251429,40.56151883,20584,10998,9586,4,1,0.5,0.529411765,0.142857143,0.117647059,16374.67,17775.98,0,8199.39,42350.04
HH0015,R0015,Kajiado,Midline,Female,Non-KPMD Seller,10,17,5,9,1,2,1,1,0,0,2,4,,,25.6608372,18.32961157,,,404.8302722,439.6406543,,12.28691463,25.92234764,3.286597414,0.709544312,0.159706323,TRUE,27737,0.817334166,10.97336148,74.89863439,33525,10993,22532,0,6,0.5,0.529411765,0.1,0.117647059,0,0,20776.57,32233.77,53010.34
HH0015,R0015,Kajiado,Endline,Female,Non-KPMD Seller,12,14,7,7,1,2,1,1,0,3,0,2,,19.65091578,,19.37441086,,335.7028206,,427.6739708,15.67307318,9.665626129,26.46504778,2.948755224,0.895053408,0.663724767,FALSE,0,,0,60.44178526,90147,47286,42861,3,2,0.583333333,0.5,0.083333333,0.142857143,0,19790.6,0,16571.86,36362.46
HH0016,R0016,Kajiado,Baseline,Female,Non-KPMD Seller,18,2,9,1,2,0,1,0,1,3,0,1,24.49553159,20.22867077,,15.64791115,351.3344052,357.0674562,,377.3234987,14.12413716,14.6461248,18.18853955,2.61867674,0.771347948,0.439610579,TRUE,12382,0.948411603,12.15195068,57.99291405,91415,33819,57596,4,1,0.5,0.5,0.111111111,0,8606.12,21669,0,5904.32,36179.44
HH0016,R0016,Kajiado,Midline,Female,Non-KPMD Seller,18,2,10,1,2,0,1,0,1,1,0,1,22.95632748,19.55188089,,24.4639121,436.7841202,322.9809395,,286.0057022,17.02254107,10.94611052,31.90625599,1.220927328,0.815269609,0.685943715,TRUE,27434,0.821390387,6.172436381,79.83386235,378494,221763,156731,2,1,0.555555556,0.5,0.111111111,0,10026.96,6314.88,0,6996.82,23338.66
HH0016,R0016,Kajiado,Endline,Female,Non-KPMD Seller,15,5,7,3,3,1,2,1,1,1,0,0,19.52347026,19.84783641,,,338.9512145,333.5195807,,,15.33164069,,24.11141563,3.096748903,0.797309766,0.525016723,FALSE,0,,1.146365732,56.95820169,76372,38966,37406,2,0,0.466666667,0.6,0.2,0.2,6617.5,6619.64,0,0,13237.14
HH0017,R0017,Kajiado,Baseline,Male,Control,14,8,5,3,3,2,1,1,0,1,0,3,,16.32257981,,18.46730604,,403.7349231,,325.8475511,12.60678721,14.38618268,31.83390509,2.42392278,0.191374748,0.651770908,FALSE,0,,14.05301977,42.1153546,118099,72649,45450,1,3,0.357142857,0.375,0.214285714,0.25,0,6590,0,18052.58,24642.58
HH0017,R0017,Kajiado,Midline,Male,Control,15,10,6,4,3,2,2,1,0,1,0,4,,24.76239252,,23.27248547,,330.9814898,,400.4469107,12.39212256,14.62007269,11.00883356,1.744451734,0.51856922,0.043029612,FALSE,0,,9.086966758,43.62126253,111666,53282,58384,1,4,0.4,0.4,0.2,0.2,0,8195.89,0,37277.58,45473.47
HH0017,R0017,Kajiado,Endline,Male,Control,15,11,5,5,3,2,1,1,0,3,0,0,,20.06348763,,,,311.1750906,,,16.08043674,,20.0798736,3.341955469,0.422264158,0.745460617,FALSE,0,,9.700738766,44.44904657,32601,21716,10885,3,0,0.333333333,0.454545455,0.2,0.181818182,0,18729.77,0,0,18729.77
HH0018,R0018,Samburu,Baseline,Male,Control,12,23,5,10,2,3,1,2,0,6,0,4,,23.0629045,,25.06101771,,327.7348574,,356.7580808,12.41588901,11.47877315,7.315484481,1.670179534,0.560555055,0.710431913,TRUE,15403,0.791656203,1.908054275,47.96042628,62852,34246,28606,6,4,0.416666667,0.434782609,0.166666667,0.130434783,0,45351.11,0,35762.88,81113.99
HH0018,R0018,Samburu,Midline,Male,Control,11,21,4,10,2,3,1,2,0,0,0,4,,,,17.05521013,,,,406.844994,,17.61379576,12.77455194,1.957748025,0.621669738,0.511264332,FALSE,0,,9.767948281,59.23779763,47620,23300,24320,0,4,0.363636364,0.476190476,0.181818182,0.142857143,0,0,0,27755.31,27755.31
HH0018,R0018,Samburu,Endline,Male,Control,9,20,4,7,2,4,1,2,0,4,0,0,,22.44962098,,,,358.5347395,,,9.183604731,,19.60994049,3.774224051,0.178541385,0.772798419,FALSE,0,,10.14990475,52.69458948,33447,13715,19732,4,0,0.444444444,0.35,0.222222222,0.2,0,32195.88,0,0,32195.88
HH0019,R0019,Samburu,Baseline,Male,Non-KPMD Seller,18,20,10,9,3,3,2,2,1,2,1,2,19.78701273,24.10746819,25.16187251,18.21014169,381.5175134,380.7498047,391.6274472,418.2840121,21.09161748,10.6420419,10.18955397,2.812673017,0.308350264,0.683294799,FALSE,0,,0,40.26495666,60046,26249,33797,3,3,0.555555556,0.45,0.166666667,0.15,7549.09,18357.83,9854.08,15234.02,50995.02
HH0019,R0019,Samburu,Midline,Male,Non-KPMD Seller,19,17,9,9,3,3,2,2,1,3,0,0,23.99473043,19.41692609,,,393.1991784,304.6483746,,,10.64877757,,24.99605757,1.43817109,0.056916514,0.200604471,TRUE,28326,0.578069963,7.348188979,61.75211419,77438,68008,9430,4,0,0.473684211,0.529411765,0.157894737,0.176470588,9434.71,17746,0,0,27180.71
HH0019,R0019,Samburu,Endline,Male,Non-KPMD Seller,17,19,10,10,2,3,1,2,1,3,0,3,22.24789956,20.61473026,,23.42745016,416.7381778,293.9427181,,372.472035,11.87126044,9.224485268,21.8298295,2.384062048,0.757958118,0.262459054,FALSE,0,,1.765131965,75.41700763,128046,30772,97274,4,3,0.588235294,0.526315789,0.117647059,0.157894737,9271.55,18178.65,0,26178.21,53628.41
HH0020,R0020,Kajiado,Baseline,Male,KPMD,23,17,16,11,2,2,1,1,2,2,2,2,24.08144573,19.64670888,24.10373898,23.03026438,272.6084781,361.6808103,398.1719908,335.5753623,18.08588677,13.87542958,7.035975138,2.486765816,0.675978913,0.08253331,TRUE,16647,0.863647543,16.27258736,57.57176619,108435,67985,40450,4,4,0.695652174,0.647058824,0.086956522,0.117647059,13129.61,14211.68,19194.87,15456.78,61992.94
HH0020,R0020,Kajiado,Midline,Male,KPMD,23,14,15,10,2,2,1,1,2,2,1,1,23.62696383,22.94642393,22.68576601,15.88330183,415.8826479,407.3693769,426.0608797,318.8041448,11.3955254,10.98043605,23.9879439,2.367838342,0.333278267,0.463573847,TRUE,51254,1,6.954464244,63.00870213,76819,46541,30278,4,2,0.652173913,0.714285714,0.086956522,0.142857143,19652.09,18695.34,9665.52,5063.66,53076.61
HH0020,R0020,Kajiado,Endline,Male,KPMD,29,17,20,12,3,2,2,1,5,2,1,0,23.60906256,20.47583357,22.22574402,,352.5046275,388.2791451,393.730317,,7.882876199,11.09313469,20.22266132,1.564464197,0.755596144,0.818814356,FALSE,0,,0.331887287,70.97228218,82805,41916,40889,7,1,0.689655172,0.705882353,0.103448276,0.117647059,41611.52,15900.68,8750.95,0,66263.15
HH0021,R0021,Samburu,Baseline,Male,Control,5,29,2,11,1,5,0,2,0,4,0,3,,21.7860326,,19.70965535,,380.5614249,,356.4079525,13.01165664,15.19561211,27.35058029,2.82130917,0.865069099,0.500503799,TRUE,25377,0.749621042,15.87884801,39.87961099,25825,15414,10411,4,3,0.4,0.379310345,0.2,0.172413793,0,33163.69,0,21074.03,54237.72
HH0021,R0021,Samburu,Midline,Male,Control,8,30,3,14,1,5,1,3,1,3,1,4,28.80631535,20.02356945,18.43794492,18.84042345,408.1456646,357.1621525,391.7407606,395.2216629,9.587584755,13.4235079,35.18457645,2.984520951,0.367510542,0.48323392,TRUE,87339,0.800369567,18.44026701,51.37515767,141721,65442,76279,4,5,0.375,0.466666667,0.125,0.166666667,11757.17,21454.98,7222.89,29784.57,70219.61
HH0021,R0021,Samburu,Endline,Male,Control,10,29,4,13,2,4,1,2,0,1,0,5,,22.7445965,,21.88986559,,351.9581601,,395.1162782,6.411319767,12.11017762,26.41321935,1.794290141,0.610154259,0.400880933,TRUE,47049,0.826126668,13.65807042,63.8879064,53288,25529,27759,1,5,0.4,0.448275862,0.2,0.137931034,0,8005.15,0,43245.21,51250.36
HH0022,R0022,Kajiado,Baseline,Female,Control,21,9,9,4,3,1,1,1,0,3,0,3,,19.5011474,,19.96691807,,320.3178979,,338.2809196,8.810306505,12.30726924,6.977867339,2.27602902,0.267491226,0.508349929,TRUE,38446,0.744257695,7.081614272,57.6856083,89428,37398,52030,3,3,0.428571429,0.444444444,0.142857143,0.111111111,0,18739.7,0,20263.28,39002.98
HH0022,R0022,Kajiado,Midline,Female,Control,15,7,6,3,2,1,1,1,0,4,0,2,,24.24617083,,18.85137918,,344.7455338,,341.3998971,19.21655406,12.0362717,42.32557043,3.169906233,0.570711054,0.289062505,FALSE,0,,0,54.55551297,49455,31864,17591,4,2,0.4,0.428571429,0.133333333,0.142857143,0,33435.04,0,12871.72,46306.76
HH0022,R0022,Kajiado,Endline,Female,Control,21,7,9,3,3,1,1,1,0,0,0,1,,,,16.80019352,,,,399.7325528,,6.709972904,32.63791825,1.975372227,0.741236224,0.398129756,FALSE,0,,12.35694397,61.80541427,41805,27849,13956,0,1,0.428571429,0.428571429,0.142857143,0.142857143,0,0,0,6715.58,6715.58
HH0023,R0023,Kajiado,Baseline,Female,KPMD,10,13,7,8,1,2,1,1,3,2,3,2,26.87516011,17.23891894,22.74614681,22.4068232,343.6126633,307.8572131,373.2888177,383.1486728,11.43801294,6,1,1.475194375,0.882894318,0.723052306,TRUE,29283,0.656943352,15.27182909,63.0826864,13921,13225,696,5,5,0.7,0.615384615,0.1,0.153846154,27703.94,10614.25,25472.65,17170.29,80961.13
